group_id,floor,stamina_qty,recommend,team_id,reward_id,turn,restrict_element1,restrict_element2,restrict_element3,restrict_class1,restrict_class2,restrict_class3,restrict_class4,restrict_grade1,restrict_grade2,restrict_grade3,restrict_equip1,restrict_equip2,restrict_equip3,bg
11,1,2,270,50050001,30310100,40,1,0,0,1,0,0,0,2,3,0,3,0,0,dolmen
11,2,2,585,50050002,30310200,40,1,0,0,1,0,0,0,2,3,0,3,0,0,dolmen
11,3,3,900,50050003,30310300,40,1,0,0,1,0,0,0,2,3,0,3,0,0,dolmen
11,4,3,1215,50050004,30310400,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
11,5,4,1530,50050005,30310500,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
11,6,4,1845,50050006,30310600,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
11,7,4,2160,50050007,30310700,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
11,8,4,2475,50050008,30310800,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
11,9,4,2790,50050009,30310900,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
11,10,4,3105,50050010,30311000,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
11,11,4,3420,50050011,30311100,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
11,12,4,3735,50050012,30311200,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
11,13,4,4050,50050013,30311300,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
11,14,4,4365,50050014,30311400,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
11,15,4,4680,50050015,30311500,40,1,0,0,1,0,0,0,2,3,0,2,3,0,dolmen
